Load_from,Load_to,BC_load_bin,EngineType,FuelType,stroke,ME_BC_EFf
0,4.99,1 ,SSD,HFO,2 ,0.00044
5,9.99,2 ,SSD,HFO,2 ,0.00034
10,19.99,3 ,SSD,HFO,2 ,0.00027
20,29.99,4 ,SSD,HFO,2 ,0.00023
30,39.99,5 ,SSD,HFO,2 ,0.00021
40,49.99,6 ,SSD,HFO,2 ,0.00019
50,59.99,7 ,SSD,HFO,2 ,0.00018
60,69.99,8 ,SSD,HFO,2 ,0.00017
70,79.99,9 ,SSD,HFO,2 ,0.00016
80,89.99,10 ,SSD,HFO,2 ,0.00016
90,100,11 ,SSD,HFO,2 ,0.00015
0,4.99,1 ,SSD,LSHFO,2 ,0.00044
5,9.99,2 ,SSD,LSHFO,2 ,0.00034
10,19.99,3 ,SSD,LSHFO,2 ,0.00027
20,29.99,4 ,SSD,LSHFO,2 ,0.00023
30,39.99,5 ,SSD,LSHFO,2 ,0.00021
40,49.99,6 ,SSD,LSHFO,2 ,0.00019
50,59.99,7 ,SSD,LSHFO,2 ,0.00018
60,69.99,8 ,SSD,LSHFO,2 ,0.00017
70,79.99,9 ,SSD,LSHFO,2 ,0.00016
80,89.99,10 ,SSD,LSHFO,2 ,0.00016
90,100,11 ,SSD,HFO,2 ,0.00015
0,4.99,1 ,SSD,MDO,2 ,0.00001
5,9.99,2 ,SSD,MDO,2 ,0.000008
10,19.99,3 ,SSD,MDO,2 ,0.000006
20,29.99,4 ,SSD,MDO,2 ,0.000005
30,39.99,5 ,SSD,MDO,2 ,0.000004
40,49.99,6 ,SSD,MDO,2 ,0.000004
50,59.99,7 ,SSD,MDO,2 ,0.000004
60,69.99,8 ,SSD,MDO,2 ,0.000004
70,79.99,9 ,SSD,MDO,2 ,0.000003
80,89.99,10 ,SSD,MDO,2 ,0.000003
90,100,11 ,SSD,MDO,2 ,0.000003
0,4.99,1 ,MSD,HFO,2 ,0.00044
5,9.99,2 ,MSD,HFO,2 ,0.00034
10,19.99,3 ,MSD,HFO,2 ,0.00027
20,29.99,4 ,MSD,HFO,2 ,0.00023
30,39.99,5 ,MSD,HFO,2 ,0.00021
40,49.99,6 ,MSD,HFO,2 ,0.00019
50,59.99,7 ,MSD,HFO,2 ,0.00018
60,69.99,8 ,MSD,HFO,2 ,0.00017
70,79.99,9 ,MSD,HFO,2 ,0.00016
80,89.99,10 ,MSD,HFO,2 ,0.00016
90,100,11 ,MSD,HFO,2 ,0.00015
0,4.99,1 ,MSD,LSHFO,2 ,0.00044
5,9.99,2 ,MSD,LSHFO,2 ,0.00034
10,19.99,3 ,MSD,LSHFO,2 ,0.00027
20,29.99,4 ,MSD,LSHFO,2 ,0.00023
30,39.99,5 ,MSD,LSHFO,2 ,0.00021
40,49.99,6 ,MSD,LSHFO,2 ,0.00019
50,59.99,7 ,MSD,LSHFO,2 ,0.00018
60,69.99,8 ,MSD,LSHFO,2 ,0.00017
70,79.99,9 ,MSD,LSHFO,2 ,0.00016
80,89.99,10 ,MSD,LSHFO,2 ,0.00016
90,100,11 ,MSD,LSHFO,2 ,0.00015
0,4.99,1 ,MSD,MDO,2 ,0.00001
5,9.99,2 ,MSD,MDO,2 ,0.000008
10,19.99,3 ,MSD,MDO,2 ,0.000006
20,29.99,4 ,MSD,MDO,2 ,0.000005
30,39.99,5 ,MSD,MDO,2 ,0.000004
40,49.99,6 ,MSD,MDO,2 ,0.000004
50,59.99,7 ,MSD,MDO,2 ,0.000004
60,69.99,8 ,MSD,MDO,2 ,0.000004
70,79.99,9 ,MSD,MDO,2 ,0.000003
80,89.99,10 ,MSD,MDO,2 ,0.000003
90,100,11 ,MSD,MDO,2 ,0.000003
0,4.99,1 ,HSD,HFO,2 ,0.00044
5,9.99,2 ,HSD,HFO,2 ,0.00034
10,19.99,3 ,HSD,HFO,2 ,0.00027
20,29.99,4 ,HSD,HFO,2 ,0.00023
30,39.99,5 ,HSD,HFO,2 ,0.00021
40,49.99,6 ,HSD,HFO,2 ,0.00019
50,59.99,7 ,HSD,HFO,2 ,0.00018
60,69.99,8 ,HSD,HFO,2 ,0.00017
70,79.99,9 ,HSD,HFO,2 ,0.00016
80,89.99,10 ,HSD,HFO,2 ,0.00016
90,100,11 ,HSD,HFO,2 ,0.00015
0,4.99,1 ,HSD,LSHFO,2 ,0.00044
5,9.99,2 ,HSD,LSHFO,2 ,0.00034
10,19.99,3 ,HSD,LSHFO,2 ,0.00027
20,29.99,4 ,HSD,LSHFO,2 ,0.00023
30,39.99,5 ,HSD,LSHFO,2 ,0.00021
40,49.99,6 ,HSD,LSHFO,2 ,0.00019
50,59.99,7 ,HSD,LSHFO,2 ,0.00018
60,69.99,8 ,HSD,LSHFO,2 ,0.00017
70,79.99,9 ,HSD,LSHFO,2 ,0.00016
80,89.99,10 ,HSD,LSHFO,2 ,0.00016
90,100,11 ,HSD,LSHFO,2 ,0.00015
0,4.99,1 ,HSD,MDO,2 ,0.00001
5,9.99,2 ,HSD,MDO,2 ,0.000008
10,19.99,3 ,HSD,MDO,2 ,0.000006
20,29.99,4 ,HSD,MDO,2 ,0.000005
30,39.99,5 ,HSD,MDO,2 ,0.000004
40,49.99,6 ,HSD,MDO,2 ,0.000004
50,59.99,7 ,HSD,MDO,2 ,0.000004
60,69.99,8 ,HSD,MDO,2 ,0.000004
70,79.99,9 ,HSD,MDO,2 ,0.000003
80,89.99,10 ,HSD,MDO,2 ,0.000003
90,100,11 ,HSD,MDO,2 ,0.000003
0,4.99,1 ,SSD,MeOH,2 ,0.000044
5,9.99,2 ,SSD,MeOH,2 ,0.000034
10,19.99,3 ,SSD,MeOH,2 ,0.000027
20,29.99,4 ,SSD,MeOH,2 ,0.000023
30,39.99,5 ,SSD,MeOH,2 ,0.000021
40,49.99,6 ,SSD,MeOH,2 ,0.000019
50,59.99,7 ,SSD,MeOH,2 ,0.000018
60,69.99,8 ,SSD,MeOH,2 ,0.000017
70,79.99,9 ,SSD,MeOH,2 ,0.000016
80,89.99,10 ,SSD,MeOH,2 ,0.000016
90,100,11 ,SSD,MeOH,2 ,0.000015
0,4.99,1 ,MSD,MeOH,2 ,0.000044
5,9.99,2 ,MSD,MeOH,2 ,0.000034
10,19.99,3 ,MSD,MeOH,2 ,0.000027
20,29.99,4 ,MSD,MeOH,2 ,0.000023
30,39.99,5 ,MSD,MeOH,2 ,0.000021
40,49.99,6 ,MSD,MeOH,2 ,0.000019
50,59.99,7 ,MSD,MeOH,2 ,0.000018
60,69.99,8 ,MSD,MeOH,2 ,0.000017
70,79.99,9 ,MSD,MeOH,2 ,0.000016
80,89.99,10 ,MSD,MeOH,2 ,0.000016
90,100,11 ,MSD,MeOH,2 ,0.000015
0,4.99,1 ,SSD,HFO,4 ,0.00452
5,9.99,2 ,SSD,HFO,4 ,0.00231
10,19.99,3 ,SSD,HFO,4 ,0.00118
20,29.99,4 ,SSD,HFO,4 ,0.0008
30,39.99,5 ,SSD,HFO,4 ,0.0006
40,49.99,6 ,SSD,HFO,4 ,0.00049
50,59.99,7 ,SSD,HFO,4 ,0.00041
60,69.99,8 ,SSD,HFO,4 ,0.00035
70,79.99,9 ,SSD,HFO,4 ,0.00031
80,89.99,10 ,SSD,HFO,4 ,0.00028
90,100,11 ,SSD,HFO,4 ,0.00025
0,4.99,1 ,SSD,LSHFO,4 ,0.00452
5,9.99,2 ,SSD,LSHFO,4 ,0.00231
10,19.99,3 ,SSD,LSHFO,4 ,0.00118
20,29.99,4 ,SSD,LSHFO,4 ,0.0008
30,39.99,5 ,SSD,LSHFO,4 ,0.0006
40,49.99,6 ,SSD,LSHFO,4 ,0.00049
50,59.99,7 ,SSD,LSHFO,4 ,0.00041
60,69.99,8 ,SSD,LSHFO,4 ,0.00035
70,79.99,9 ,SSD,LSHFO,4 ,0.00031
80,89.99,10 ,SSD,LSHFO,4 ,0.00028
90,100,11 ,SSD,LSHFO,4 ,0.00025
0,4.99,1 ,SSD,MDO,4 ,0.00348
5,9.99,2 ,SSD,MDO,4 ,0.0016
10,19.99,3 ,SSD,MDO,4 ,0.00073
20,29.99,4 ,SSD,MDO,4 ,0.00046
30,39.99,5 ,SSD,MDO,4 ,0.00034
40,49.99,6 ,SSD,MDO,4 ,0.00026
50,59.99,7 ,SSD,MDO,4 ,0.00021
60,69.99,8 ,SSD,MDO,4 ,0.00018
70,79.99,9 ,SSD,MDO,4 ,0.00015
80,89.99,10 ,SSD,MDO,4 ,0.00014
90,100,11 ,SSD,MDO,4 ,0.00012
0,4.99,1 ,MSD,HFO,4 ,0.00452
5,9.99,2 ,MSD,HFO,4 ,0.00231
10,19.99,3 ,MSD,HFO,4 ,0.00118
20,29.99,4 ,MSD,HFO,4 ,0.0008
30,39.99,5 ,MSD,HFO,4 ,0.0006
40,49.99,6 ,MSD,HFO,4 ,0.00049
50,59.99,7 ,MSD,HFO,4 ,0.00041
60,69.99,8 ,MSD,HFO,4 ,0.00035
70,79.99,9 ,MSD,HFO,4 ,0.00031
80,89.99,10 ,MSD,HFO,4 ,0.00028
90,100,11 ,MSD,HFO,4 ,0.00025
0,4.99,1 ,MSD,LSHFO,4 ,0.00452
5,9.99,2 ,MSD,LSHFO,4 ,0.00231
10,19.99,3 ,MSD,LSHFO,4 ,0.00118
20,29.99,4 ,MSD,LSHFO,4 ,0.0008
30,39.99,5 ,MSD,LSHFO,4 ,0.0006
40,49.99,6 ,MSD,LSHFO,4 ,0.00049
50,59.99,7 ,MSD,LSHFO,4 ,0.00041
60,69.99,8 ,MSD,LSHFO,4 ,0.00035
70,79.99,9 ,MSD,LSHFO,4 ,0.00031
80,89.99,10 ,MSD,LSHFO,4 ,0.00028
90,100,11 ,MSD,LSHFO,4 ,0.00025
0,4.99,1 ,MSD,MDO,4 ,0.00348
5,9.99,2 ,MSD,MDO,4 ,0.0016
10,19.99,3 ,MSD,MDO,4 ,0.00073
20,29.99,4 ,MSD,MDO,4 ,0.00046
30,39.99,5 ,MSD,MDO,4 ,0.00034
40,49.99,6 ,MSD,MDO,4 ,0.00026
50,59.99,7 ,MSD,MDO,4 ,0.00021
60,69.99,8 ,MSD,MDO,4 ,0.00018
70,79.99,9 ,MSD,MDO,4 ,0.00015
80,89.99,10 ,MSD,MDO,4 ,0.00014
90,100,11 ,MSD,MDO,4 ,0.00012
0,4.99,1 ,HSD,HFO,4 ,0.00452
5,9.99,2 ,HSD,HFO,4 ,0.00231
10,19.99,3 ,HSD,HFO,4 ,0.00118
20,29.99,4 ,HSD,HFO,4 ,0.0008
30,39.99,5 ,HSD,HFO,4 ,0.0006
40,49.99,6 ,HSD,HFO,4 ,0.00049
50,59.99,7 ,HSD,HFO,4 ,0.00041
60,69.99,8 ,HSD,HFO,4 ,0.00035
70,79.99,9 ,HSD,HFO,4 ,0.00031
80,89.99,10 ,HSD,HFO,4 ,0.00028
90,100,11 ,HSD,HFO,4 ,0.00025
0,4.99,1 ,HSD,HFO,4 ,0.00452
5,9.99,2 ,HSD,LSHFO,4 ,0.00231
10,19.99,3 ,HSD,LSHFO,4 ,0.00118
20,29.99,4 ,HSD,LSHFO,4 ,0.0008
30,39.99,5 ,HSD,LSHFO,4 ,0.0006
40,49.99,6 ,HSD,LSHFO,4 ,0.00049
50,59.99,7 ,HSD,LSHFO,4 ,0.00041
60,69.99,8 ,HSD,LSHFO,4 ,0.00035
70,79.99,9 ,HSD,LSHFO,4 ,0.00031
80,89.99,10 ,HSD,LSHFO,4 ,0.00028
90,100,11 ,HSD,LSHFO,4 ,0.00025
0,4.99,1 ,HSD,MDO,4 ,0.00348
5,9.99,2 ,HSD,MDO,4 ,0.0016
10,19.99,3 ,HSD,MDO,4 ,0.00073
20,29.99,4 ,HSD,MDO,4 ,0.00046
30,39.99,5 ,HSD,MDO,4 ,0.00034
40,49.99,6 ,HSD,MDO,4 ,0.00026
50,59.99,7 ,HSD,MDO,4 ,0.00021
60,69.99,8 ,HSD,MDO,4 ,0.00018
70,79.99,9 ,HSD,MDO,4 ,0.00015
80,89.99,10 ,HSD,MDO,4 ,0.00014
90,100,11 ,HSD,MDO,4 ,0.00012
0,4.99,1 ,SSD,MeOH,4 ,0.000452
5,9.99,2 ,SSD,MeOH,4 ,0.000231
10,19.99,3 ,SSD,MeOH,4 ,0.000118
20,29.99,4 ,SSD,MeOH,4 ,0.00008
30,39.99,5 ,SSD,MeOH,4 ,0.00006
40,49.99,6 ,SSD,MeOH,4 ,0.000049
50,59.99,7 ,SSD,MeOH,4 ,0.000041
60,69.99,8 ,SSD,MeOH,4 ,0.000035
70,79.99,9 ,SSD,MeOH,4 ,0.000031
80,89.99,10 ,SSD,MeOH,4 ,0.000028
90,100,11 ,SSD,MeOH,4 ,0.000025
0,4.99,1 ,MSD,MeOH,4 ,0.000452
5,9.99,2 ,MSD,MeOH,4 ,0.000231
10,19.99,3 ,MSD,MeOH,4 ,0.000118
20,29.99,4 ,MSD,MeOH,4 ,0.00008
30,39.99,5 ,MSD,MeOH,4 ,0.00006
40,49.99,6 ,MSD,MeOH,4 ,0.000049
50,59.99,7 ,MSD,MeOH,4 ,0.000041
60,69.99,8 ,MSD,MeOH,4 ,0.000035
70,79.99,9 ,MSD,MeOH,4 ,0.000031
80,89.99,10 ,MSD,MeOH,4 ,0.000028
90,100,11 ,MSD,MeOH,4 ,0.000025
