type_categor,size_category_min,size_category_max,unit,type_bin,size_bin,Berth,Anchor,Maneuverin,Sea
Bulk_carrier,0,9999,dwt,1,1,150,250,680,260
Bulk_carrier,"10,000","34,999",dwt,1,2,150,250,680,260
Bulk_carrier,"35,000","59,999",dwt,1,3,200,340,920,360
Bulk_carrier,"60,000","99,999",dwt,1,4,320,550,1500,570
Bulk_carrier,"100,000","199,999",dwt,1,5,320,550,1500,570
Bulk_carrier,"200,000",999999999,dwt,1,6,320,550,1500,570
Chemical_tanker,0,"4,999",dwt,3,1,260,190,300,230
Chemical_tanker,"5,000","9,999",dwt,3,2,790,550,900,660
Chemical_tanker,"10,000","19,999",dwt,3,3,790,550,900,660
Chemical_tanker,"20,000",39999,dwt,3,4,1900,890,1250,890
Chemical_tanker,"40,000",999999999,dwt,3,5,1900,890,1250,890
Container,0,999,TEU,4,1,370,450,790,410
Container,"1,000","1,999",TEU,4,2,820,910,1750,900
Container,"2,000","2,999",TEU,4,3,610,910,1900,920
Container,"3,000","4,999",TEU,4,4,1100,1350,2500,1400
Container,"5,000","7,999",TEU,4,5,1100,1400,2800,1450
Container,"8,000","11,999",TEU,4,6,1150,1600,2900,1800
Container,12000,14499,TEU,4,7,1300,1800,3250,2050
Container,14500,19999,TEU,4,8,1400,1950,3600,2300
Container,20000,999999999,TEU,4,9,1400,1950,3600,2300
General_cargo,0,"4,999",dwt,5,1,90,50,180,60
General_cargo,"5,000","9,999",dwt,5,2,240,130,490,180
General_cargo_,10000,19999,dwt,5,3,720,370,1450,520
General_cargo,20000,999999999,dwt,5,4,720,370,1450,520
Liquefied_gas_tanker,0,"49,999",cbm,6,1,240,240,360,240
Liquefied_gas_tanker,50000,99999,cbm,6,2,1700,1700,2600,1700
Liquefied_gas_tanker_,100000,199999,cbm,6,3,2000,1900,2600,1750
Liquefied_gas_tanker_,200000,999999999,cbm,6,4,2000,1900,2600,1750
Oil_tanker,0,"4,999",dwt,7,1,250,250,375,250
Oil_tanker,"5,000","9,999",dwt,7,2,375,375,560,375
Oil_tanker,"10,000","19,999",dwt,7,3,690,500,580,490
Oil_tanker,"20,000","59,999",dwt,7,4,720,520,600,510
Oil_tanker,"60,000","79,999",dwt,7,5,620,490,770,560
Oil_tanker,"80,000","119,999",dwt,7,6,800,640,910,690
Oil_tanker,"120,000","199,999",dwt,7,7,2500,770,1300,860
Oil_tanker,"200,000",999999999,dwt,7,8,2500,770,1300,860
Other_liquids_tankers,0,999,dwt,8,1,500,500,750,500
Other_liquids_tankers,1000,999999999,dwt,8,2,500,500,750,500
Ferry-pax_only,0,299,GT,9,1,190,190,190,190
Ferry-pax_only,300,999,GT,9,2,190,190,190,190
Ferry-pax_only,1000,1999,GT,9,3,190,190,190,190
Ferry-pax_only,2000,999999999,GT,9,4,520,520,520,520
Cruise,0,"1,999",GT,10,1,450,450,580,450
Cruise,"2,000","9,999",GT,10,2,450,450,580,450
Cruise,"10,000","59,999",GT,10,3,3500,3500,5500,3500
Cruise,"60,000","99,999",GT,10,4,5400,6400,9100,6300
Cruise_,100000,149999,GT,10,5,11500,11500,14900,11500
Cruise,150000,999999999,GT,10,6,11500,11500,14900,11500
Ferry-RoPax,0,1999,GT,11,1,105,105,105,105
Ferry-RoPax,2000,4999,GT,11,2,330,330,330,330
Ferry-RoPax,5000,9999,GT,11,3,670,670,670,670
Ferry-RoPax,10000,19999,GT,11,4,1100,1100,1100,1100
Ferry-RoPax,20000,999999999,GT,11,5,1950,1950,1950,1950
Refrigerator_bulk,0,1999,dwt,12,1,520,570,560,570
Refrigerator_bulk,2000,5999,dwt,12,2,1100,1200,1150,1200
Refrigerator_bulk,6000,9999,dwt,12,3,1500,1650,1600,1650
Refrigerator_bulk,10000,999999999,dwt,12,4,2850,3100,3000,3100
Ro-Ro,0,4999,dwt,13,1,750,430,1300,430
Ro-Ro,5000,9999,dwt,13,2,1100,680,2100,680
Ro-Ro,10000,14999,dwt,13,3,1200,950,2700,950
Ro-Ro,15000,999999999,dwt,13,4,1200,950,2700,950
Vehicle,0,29999,GT,14,1,800,500,1100,500
Vehicle,30000,49999,GT,14,2,850,550,1400,510
Vehicle,50000,999999999,GT,14,3,850,550,1400,510
Yacht,0,999999999,,15,1,130,130,130,130
Service-tug,0,999999999,,16,1,100,80,210,80
Misellneous-fishing,0,999999999,,17,1,200,200,200,200
offshore,0,999999999,,18,1,320,320,320,320
Service-other,0,999999999,,19,1,220,220,220,220
Miscellaneous-other,0,999999999,,20,1,150,150,430,410